ID,TYPE,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI
2455,K014,2.207.624,41.400.657,BUS -H16-V27--,Diagonal Mar i el Front Marítim del Poblenou
2456,K014,2.172.085,41.451.493,BUS -182--,Torre Baró
2457,K014,2.141.114,41.379.818,BUS -78-109-L94-CJ-H10--,Sants
2458,K014,2.180.702,41.460.998,BUS -183--,Torre Baró
2459,K014,2.170.897,41.434.795,BUS -122--,el Turó de la Peira
2460,K014,2.171.732,414.342,BUS -122--,el Turó de la Peira
2461,K014,2.141.462,41.379.499,BUS -27--,Sants
2462,K014,2.134.997,41.426.805,BUS -112--,Sant Genís dels Agudells
2463,K014,2.199.959,41.426.168,BUS -33--,la Verneda i la Pau
2464,K014,2.143.732,41.405.711,BUS -131--,el Putxet i el Farró
2465,K014,2.142.709,4.141.082,BUS -131--,el Putxet i el Farró
2466,K014,2.144.716,41.356.355,BUS -125-V5--,la Marina de Port
2467,K014,2.138.321,41.364.905,BUS -125--,la Marina de Port
2468,K014,2.173.994,41.446.172,BUS -127--,les Roquetes
2469,K015,2.115.709,41.385.108,NITBUS -N12--,la Maternitat i Sant Ramon
2470,K014,215.206,41.356.236,BUS -107--,el Poble-sec
