NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
Tramvia,2.193551,41.408024,"TRAMVIA (T5, T6) - CAN JAUMANDREU-",Provençals del Poblenou,183
Ferrocarrils Generalitat (FGC),2.147016,41.401372,FGC - SANT GERVASI-,Sant Gervasi - Galvany,184
Metro i línies urbanes FGC,2.102659,41.358582,METRO (L1) - Av. Carrilet-,,185
Metro i línies urbanes FGC,2.174015,41.41599,METRO (L4) - Guinardó | Hospital de Sant Pau-,el Guinardó,186
Metro i línies urbanes FGC,2.209909,41.430032,METRO (L2) - Verneda-,,187
Metro i línies urbanes FGC,2.099472,41.371307,METRO (L5) - Can Vidalet-,,188
Metro i línies urbanes FGC,2.166408,41.412405,METRO (L4) - Alfons X-,el Baix Guinardó,189
Metro i línies urbanes FGC,2.174675,41.460836,METRO (L11) - Ciutat Meridiana-,Ciutat Meridiana,190
Ferrocarrils Generalitat (FGC),2.137173,41.410227,FGC - AVINGUDA DEL TIBIDABO-,Sant Gervasi - la Bonanova,191
Ferrocarrils Generalitat (FGC),2.142617,41.403596,FGC - PADUA-,Sant Gervasi - Galvany,192
Metro i línies urbanes FGC,2.145362,41.378521,METRO (L3) - Tarragona-,la Nova Esquerra de l'Eixample,193
Metro i línies urbanes FGC,2.115783,41.368251,METRO (L9SL10S) - Torrassa-,,194
Metro i línies urbanes FGC,2.158856,41.394463,METRO (L5) - Diagonal-,la Dreta de l'Eixample,195
Metro i línies urbanes FGC,2.167115,41.39898,METRO (L5) - Verdaguer-,la Dreta de l'Eixample,196
Metro i línies urbanes FGC,2.181523,41.415088,METRO (L5) - Camp de l'Arpa-,el Camp de l'Arpa del Clot,197
Metro i línies urbanes FGC,2.16,41.429721,METRO (L5) - Horta-,Horta,198
Metro i línies urbanes FGC,2.142382,41.425021,METRO (L5) - Vall d'Hebron-,Montbau,199
Metro i línies urbanes FGC,2.169671,41.388085,Catalunya (Passeig de Gràcia)-,la Dreta de l'Eixample,200
Metro i línies urbanes FGC,2.175021,41.389956,Urquinaona (Bruc)-,la Dreta de l'Eixample,201
Metro i línies urbanes FGC,2.18713,41.395239,Marina (Almogàvers)-,el Parc i la Llacuna del Poblenou,202
Metro i línies urbanes FGC,2.187159,41.416905,Navas (Biscaia)-,Navas,203
Metro i línies urbanes FGC,2.191044,41.437482,Sant Andreu (Joan Torras)-,Sant Andreu,204
Metro i línies urbanes FGC,2.168159,41.375117,Paral·lel (Ronda Sant Pau)-,el Raval,205
Metro i línies urbanes FGC,2.125868,41.356743,Europa | Fira (Fira Gran Via)-,,206
Metro i línies urbanes FGC,2.087401,41.316916,Parc Nou (Riu Llobregat / Riu Xúquer)-,,207
Metro i línies urbanes FGC,2.154421,41.378611,Rocafort (Rocafort / Sepúlveda)-,Sant Antoni,208
Ferrocarrils Generalitat (FGC),2.135502,41.397638,FGC - BONANOVA-,Sant Gervasi - Galvany,209
Metro i línies urbanes FGC,2.187144,41.421794,La Sagrera (Meridiana | Hondures)-,la Sagrera,210
Metro i línies urbanes FGC,2.16764,41.388952,Passeig de Gràcia (Rbla. Catalunya)-,la Dreta de l'Eixample,211
Metro i línies urbanes FGC,2.148451,41.435372,Mundet (Salesians)-,la Vall d'Hebron,212
Metro i línies urbanes FGC,2.23786,41.444385,Pep Ventura (Avinguda Alfons XIII)-,,213
Metro i línies urbanes FGC,2.1852,41.451289,Casa de l'Aigua (Aiguablava)-,la Trinitat Nova,214
